epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,8786.97,1.14675,0.7687,1.09556,0.75989,0.69138,0.74539,0.45308,1.10858,0.71294,1.04034,0.000311379,0.000311379,0.000311379
81,8897.2,1.15636,0.76896,1.09848,0.76573,0.69422,0.7484,0.45318,1.11689,0.70832,1.04352,0.000297232,0.000297232,0.000297232
82,9005.55,1.1482,0.76687,1.09562,0.76625,0.69413,0.74702,0.45322,1.11456,0.7083,1.0426,0.000283085,0.000283085,0.000283085
83,9114.53,1.15087,0.76662,1.09492,0.76899,0.69422,0.7487,0.45189,1.12133,0.70564,1.0451,0.000268938,0.000268938,0.000268938
84,9222.84,1.14679,0.7657,1.09383,0.77066,0.6934,0.74816,0.45415,1.11546,0.706,1.0434,0.000254791,0.000254791,0.000254791
85,9331.87,1.1393,0.75775,1.09232,0.77075,0.69118,0.75014,0.45426,1.11628,0.70507,1.04274,0.000240644,0.000240644,0.000240644
86,9440.47,1.13763,0.75759,1.09008,0.77015,0.69489,0.75218,0.45638,1.10802,0.70559,1.04044,0.000226497,0.000226497,0.000226497
87,9549.78,1.13578,0.75425,1.08899,0.77426,0.68992,0.75289,0.45566,1.11659,0.70375,1.04192,0.000212349,0.000212349,0.000212349
88,9660.07,1.13153,0.75707,1.08759,0.77626,0.68922,0.75334,0.45759,1.10586,0.70345,1.03983,0.000198202,0.000198202,0.000198202
89,9768.82,1.13672,0.7576,1.09047,0.78365,0.68582,0.75265,0.45733,1.10416,0.7003,1.04004,0.000184055,0.000184055,0.000184055
90,9879.47,1.12555,0.75046,1.0856,0.77026,0.69514,0.75182,0.45823,1.10852,0.69826,1.03821,0.000169908,0.000169908,0.000169908
91,10026.1,1.06749,0.68516,1.05159,0.76352,0.69772,0.74999,0.45479,1.11911,0.70604,1.04434,0.000155761,0.000155761,0.000155761
92,10131.4,1.05752,0.6739,1.05193,0.76985,0.69648,0.75194,0.45485,1.11967,0.70277,1.0435,0.000141614,0.000141614,0.000141614
93,10237.1,1.05165,0.66629,1.04999,0.7721,0.69633,0.75323,0.45718,1.11207,0.70118,1.04085,0.000127467,0.000127467,0.000127467
94,10342.6,1.04675,0.66989,1.04599,0.77008,0.69579,0.75078,0.45799,1.10225,0.69736,1.03758,0.00011332,0.00011332,0.00011332
95,10448.3,1.03888,0.65929,1.04176,0.76991,0.69662,0.75347,0.45907,1.0994,0.69547,1.03552,9.91726e-05,9.91726e-05,9.91726e-05
96,10554.1,1.0395,0.65884,1.03975,0.7675,0.699,0.75406,0.45961,1.0972,0.69268,1.03347,8.50255e-05,8.50255e-05,8.50255e-05
97,10659.9,1.03622,0.66126,1.04258,0.77256,0.69861,0.75429,0.46101,1.09774,0.69192,1.03364,7.08784e-05,7.08784e-05,7.08784e-05
98,10767.2,1.03912,0.65775,1.03901,0.78124,0.69529,0.75654,0.46124,1.09589,0.69124,1.03174,5.67313e-05,5.67313e-05,5.67313e-05
99,10874,1.03658,0.65484,1.0446,0.78067,0.69168,0.75553,0.46179,1.09113,0.69059,1.03062,4.25842e-05,4.25842e-05,4.25842e-05
100,10980.2,1.03019,0.65214,1.03701,0.77396,0.69576,0.75517,0.46219,1.09003,0.68906,1.03065,2.84371e-05,2.84371e-05,2.84371e-05
